Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"destructive 1/insert",8.415939933913095e-3,8.217306263106211e-3,8.642244465010508e-3,1.086008923124961e-3,9.554347062315327e-4,1.2476846856174844e-3
"destructive 1/contains",9.720997936385024e-3,9.424564964430669e-3,1.0038590557234628e-2,1.5717920882929513e-3,1.403795370003312e-3,1.8308585719134483e-3
"destructive 1/delete",1.4814884788649419e-2,1.4288978702681405e-2,1.5505159027235852e-2,3.064115528929247e-3,2.4494950583781832e-3,4.378247060188926e-3
"destructive 2/insert",5.0370551415852135e-3,4.939913875716075e-3,5.142369396345956e-3,5.169825134162377e-4,4.554802080240448e-4,6.223321380802089e-4
"destructive 2/contains",1.0186250335829589e-2,9.672794468062264e-3,1.098603976454054e-2,3.231592128101403e-3,2.290412961982167e-3,4.299102185596102e-3
"destructive 2/delete",6.462285644667489e-3,6.158926612990243e-3,7.1093608209065e-3,2.179019617694486e-3,1.1040575414036483e-3,3.581759254219167e-3
"destructive 3/insert",2.9548026391438085e-3,2.733006603377207e-3,3.4298874207905365e-3,1.5935371705678642e-3,8.882103782641843e-4,2.7080272604889035e-3
"destructive 3/contains",5.900178081648691e-3,5.798652298109869e-3,6.022045738356453e-3,5.665168376791548e-4,4.830706285753779e-4,6.612335662091838e-4
"destructive 3/delete",7.078642971175057e-3,6.804187423842291e-3,7.479040748732428e-3,1.6827145546509763e-3,1.2340529720887368e-3,2.392153803859342e-3
"destructive 4/insert",3.231310970442635e-3,2.9403830834797452e-3,3.947541839735848e-3,2.1608059203939095e-3,5.660706926463342e-4,3.929957821908463e-3
"destructive 4/contains",5.875384933607922e-3,5.7687450715473735e-3,6.029808647292001e-3,6.514165764082185e-4,4.8695846029187613e-4,8.823245600320044e-4
"destructive 4/delete",8.013751632826667e-3,7.72161019529615e-3,8.291144497053959e-3,1.4685253713063806e-3,1.2545709532045329e-3,1.7734992080345666e-3
"pure 1/insert",2.0381722576277593e-2,1.7715067989485606e-2,2.2851195461409436e-2,1.3224817384224317e-2,1.1987692201680993e-2,1.4222594899816178e-2
"pure 1/contains",2.1710348255293714e-2,2.1176130897658206e-2,2.230258238996778e-2,2.8888479812950677e-3,2.5045518851866087e-3,3.323233713956343e-3
"pure 1/delete",1.1476950771468028e-2,9.568059570448742e-3,1.357100260938917e-2,1.020743478030154e-2,9.092475614833008e-3,1.151536994815103e-2
"pure 2/insert",1.4090714580672127e-2,1.3161065704481941e-2,1.4777209884779792e-2,4.065160612369465e-3,2.9213292479299355e-3,5.338605766182096e-3
"pure 2/contains",1.5979744264057701e-3,9.011341401508878e-4,3.009970314162119e-3,4.855160013403122e-3,3.0051513083533894e-3,8.790820392586104e-3
"pure 2/delete",2.5199206001417982e-2,2.3403430111067634e-2,2.6542077190535415e-2,7.89435442389931e-3,6.108920458288942e-3,9.790998577110847e-3
"pure 3/insert",1.8837010986464363e-2,1.7736013061659686e-2,1.949281228269849e-2,4.307271180708468e-3,2.788480481079983e-3,6.0586963721459275e-3
"pure 3/contains",1.6865339405196054e-2,1.5301439888136733e-2,1.8175323135512213e-2,7.351384704022814e-3,6.288033410567873e-3,8.386343947677405e-3
"pure 3/delete",2.0945449001448506e-2,2.0112371570723393e-2,2.1546142227309096e-2,3.5701841463021216e-3,2.54946892043701e-3,5.563977328252935e-3
"pure 4/insert",2.1195595390456064e-2,2.055887234892164e-2,2.1838553077834e-2,3.2677976522697146e-3,2.9730493161470514e-3,3.8777658666476586e-3
"pure 4/contains",1.8299138672011238e-2,1.7636802322523938e-2,1.9180231220381604e-2,3.9020165148947127e-3,3.1722245142292668e-3,4.826930308319125e-3
"pure 4/delete",1.9196086055891855e-2,1.762121928419386e-2,2.040734542097365e-2,7.035801062147262e-3,5.574388134558982e-3,8.533577114673669e-3
